titulos,descricao
Covid-19: Fiocruz libera mais 700 mil doses da vacina AstraZeneca,"<p>A Fundação Oswaldo Cruz (Fiocruz) liberou, nesta sexta-feira (17), mais 700 mil doses da vacina Oxford/AstraZeneca contra covid-19, produzida no Instituto de Tecnologia em Imunobiológicos (Bio-Manguinhos/Fiocruz). Com a entrega ao Programa Nacional de Imunizações (PNI), o total de doses disponibilizadas nesta semana chega a 4,5 milhões. A Fiocruz retomou as entregas da vacina na última [&#8230;]</p>
<p>The post <a href=""https://www.ultimoinstante.com.br/uncategorized/covid-19-fiocruz-libera-mais-700-mil-doses-da-vacina-astrazeneca/373179/"">Covid-19: Fiocruz libera mais 700 mil doses da vacina AstraZeneca</a> first appeared on <a href=""https://www.ultimoinstante.com.br"">Ultimoinstante</a>.</p>
<p>Leia mais clicando neste link: <a rel=""nofollow"" href=""https://www.ultimoinstante.com.br/uncategorized/covid-19-fiocruz-libera-mais-700-mil-doses-da-vacina-astrazeneca/373179/"">Covid-19: Fiocruz libera mais 700 mil doses da vacina AstraZeneca</a>.</p>
"
FEBRABAN se posiciona sobre aumento do IOF,"<p>O decreto do presidente Jair Bolsonaro, que eleva o IOF a partir da próxima segunda-feira (20/09) até 31 de dezembro deste ano, promoveu uma série de reações no mercado financeiro e em entidades ligadas ao setor. Entre as manifestações estava a FEBRBAN, que divulgou a seguinte nota: &#8220;Aumento de impostos sobre o crédito, mesmo que [&#8230;]</p>
<p>The post <a href=""https://www.ultimoinstante.com.br/ultimas-noticias/economia/febraban-se-posiciona-sobre-aumento-do-iof/373176/"">FEBRABAN se posiciona sobre aumento do IOF</a> first appeared on <a href=""https://www.ultimoinstante.com.br"">Ultimoinstante</a>.</p>
<p>Leia mais clicando neste link: <a rel=""nofollow"" href=""https://www.ultimoinstante.com.br/ultimas-noticias/economia/febraban-se-posiciona-sobre-aumento-do-iof/373176/"">FEBRABAN se posiciona sobre aumento do IOF</a>.</p>
"
Copel anuncia Dividendos e Juros sobre Capital Próprio,"<p>A Companhia Paranaense de Energia – COPEL (B3: CPLE3, CPLE5, CPLE6, CPLE11 e NYSE: ELP e na LATIBEX: XCOP, XCOPO, XCOPU) anunciou a aprovação pelo Conselho de Administração do pagamento de proventos regulares referentes ao exercício de 2021, de acordo com a Política de Dividendos da Companhia. O montante bruto total é de R$ 1,437 [&#8230;]</p>
<p>The post <a href=""https://www.ultimoinstante.com.br/ultimas-noticias/economia/empresas/copel-anuncia-dividendos-e-juros-sobre-capital-proprio/373174/"">Copel anuncia Dividendos e Juros sobre Capital Próprio</a> first appeared on <a href=""https://www.ultimoinstante.com.br"">Ultimoinstante</a>.</p>
<p>Leia mais clicando neste link: <a rel=""nofollow"" href=""https://www.ultimoinstante.com.br/ultimas-noticias/economia/empresas/copel-anuncia-dividendos-e-juros-sobre-capital-proprio/373174/"">Copel anuncia Dividendos e Juros sobre Capital Próprio</a>.</p>
"
Semana termina com mercados sem destino,"<p>Os principais mercados acionários renovaram as perdas nas negociações desta sexta-feira (17/09). Os indicadores econômicos, as atenções para os bancos centrais e a Covid-19 pesaram nos desempenhos. A agenda global estava vazia, o que permitiu análise mais detalhada sobre os números divulgados nos últimos dias da China, dos Estados Unidos, da Europa e do Brasil, [&#8230;]</p>
<p>The post <a href=""https://www.ultimoinstante.com.br/ultimas-noticias/noticias-destaque/semana-termina-com-mercados-sem-destino/373167/"">Semana termina com mercados sem destino</a> first appeared on <a href=""https://www.ultimoinstante.com.br"">Ultimoinstante</a>.</p>
<p>Leia mais clicando neste link: <a rel=""nofollow"" href=""https://www.ultimoinstante.com.br/ultimas-noticias/noticias-destaque/semana-termina-com-mercados-sem-destino/373167/"">Semana termina com mercados sem destino</a>.</p>
"
"Ibovespa escorrega 2% na sessão e cai 2,4% na semana","<p>O Ibovespa fechou em queda nesta sexta-feira (17/09). O investidor seguiu digerindo as questões internas, como o decreto para o Imposto sobre Operações de Crédito, Câmbio e Seguro – IOF de 20 de setembro a até o dia 31 de dezembro. A ideia do Governo Federal é subsidiar o Auxílio Brasil, programa que substitui o [&#8230;]</p>
<p>The post <a href=""https://www.ultimoinstante.com.br/ultimas-noticias/noticias-destaque/ibovespa-escorrega-2-na-sessao-e-cai-24-na-semana/373162/"">Ibovespa escorrega 2% na sessão e cai 2,4% na semana</a> first appeared on <a href=""https://www.ultimoinstante.com.br"">Ultimoinstante</a>.</p>
<p>Leia mais clicando neste link: <a rel=""nofollow"" href=""https://www.ultimoinstante.com.br/ultimas-noticias/noticias-destaque/ibovespa-escorrega-2-na-sessao-e-cai-24-na-semana/373162/"">Ibovespa escorrega 2% na sessão e cai 2,4% na semana</a>.</p>
"
Wall Street recua na sessão e na semana com Fed no radar,"<p>A bolsa de Nova York operou em queda nesta sexta-feira (17/09), com os investidores ainda analisando os dados econômicos apresentados ao longo da semana. O Federal Reserve permaneceu no foco central. Ao final, o Dow Jones caiu 0,48% aos 34.584. O S&#38;P recuou 0,91% aos 4.432. O Nasdaq perdeu 0,91% aos 15.043. Na semana, o [&#8230;]</p>
<p>The post <a href=""https://www.ultimoinstante.com.br/ultimas-noticias/bolsa-de-valores/wall-street-recua-na-sessao-e-na-semana-com-fed-no-radar/373152/"">Wall Street recua na sessão e na semana com Fed no radar</a> first appeared on <a href=""https://www.ultimoinstante.com.br"">Ultimoinstante</a>.</p>
<p>Leia mais clicando neste link: <a rel=""nofollow"" href=""https://www.ultimoinstante.com.br/ultimas-noticias/bolsa-de-valores/wall-street-recua-na-sessao-e-na-semana-com-fed-no-radar/373152/"">Wall Street recua na sessão e na semana com Fed no radar</a>.</p>
"
Dia de grande complicação,"<p>A agenda de hoje não estava tão cheia, mas o dia acabou sendo de grande agitação e mudança de curso dos mercados. A Ásia terminou o dia com boas altas, apesar dos problemas relacionados com a incorporadora chinesa Evergrande. Esse movimento positivo foi estendido para as aberturas dos mercados na Europa, que acabou durando pouco [&#8230;]</p>
<p>The post <a href=""https://www.ultimoinstante.com.br/ultimas-noticias/noticias-destaque/dia-de-grande-complicacao/373154/"">Dia de grande complicação</a> first appeared on <a href=""https://www.ultimoinstante.com.br"">Ultimoinstante</a>.</p>
<p>Leia mais clicando neste link: <a rel=""nofollow"" href=""https://www.ultimoinstante.com.br/ultimas-noticias/noticias-destaque/dia-de-grande-complicacao/373154/"">Dia de grande complicação</a>.</p>
"
"Dólar dispara na sessão e fecha semana em alta de 0,28%","<p>O dólar ganhou força sobre o real nesta sexta-feira (17/09). A aversão ao risco foi mantida nos principais mercados acionários e acabou por valorizar a divisa sobre, que mais uma vez ficou abaixo das demais emergentes. Na semana, a valorização do dólar foi de 0,28%. As incertezas políticas, os atrasos nas reformas, a questão dos [&#8230;]</p>
<p>The post <a href=""https://www.ultimoinstante.com.br/ultimas-noticias/noticias-destaque/dolar-dispara-na-sessao-e-fecha-semana-em-alta-de-028/373151/"">Dólar dispara na sessão e fecha semana em alta de 0,28%</a> first appeared on <a href=""https://www.ultimoinstante.com.br"">Ultimoinstante</a>.</p>
<p>Leia mais clicando neste link: <a rel=""nofollow"" href=""https://www.ultimoinstante.com.br/ultimas-noticias/noticias-destaque/dolar-dispara-na-sessao-e-fecha-semana-em-alta-de-028/373151/"">Dólar dispara na sessão e fecha semana em alta de 0,28%</a>.</p>
"
PRELIMINAR: Ibovespa e Wall Street ficam no vermelho,"<p>Na preliminar, o Ibovespa ficou em queda de 1,93% aos 111.597 pontos. Os índices de Wall Street fecharam com perdas. Nesta sessão, o Dow Jones caiu 0,48% aos 34.580 pontos. Mais informações em instantes</p>
<p>The post <a href=""https://www.ultimoinstante.com.br/ultimas-noticias/bolsa-de-valores/preliminar-ibovespa-e-wall-street-ficam-no-vermelho-31/373147/"">PRELIMINAR: Ibovespa e Wall Street ficam no vermelho</a> first appeared on <a href=""https://www.ultimoinstante.com.br"">Ultimoinstante</a>.</p>
<p>Leia mais clicando neste link: <a rel=""nofollow"" href=""https://www.ultimoinstante.com.br/ultimas-noticias/bolsa-de-valores/preliminar-ibovespa-e-wall-street-ficam-no-vermelho-31/373147/"">PRELIMINAR: Ibovespa e Wall Street ficam no vermelho</a>.</p>
"
PRELIMINAR: Dólar fecha em alta,"<p>Na preliminar, o dólar fechou em alta. No interbancário, a moeda subiu 0,29% aos R$5,280 para a venda. O turismo subiu 0,18% aos R$5,453 para a venda. Mais informações em instantes</p>
<p>The post <a href=""https://www.ultimoinstante.com.br/ultimas-noticias/economia/financas-pessoais/preliminar-dolar-fecha-em-alta-52/373148/"">PRELIMINAR: Dólar fecha em alta</a> first appeared on <a href=""https://www.ultimoinstante.com.br"">Ultimoinstante</a>.</p>
<p>Leia mais clicando neste link: <a rel=""nofollow"" href=""https://www.ultimoinstante.com.br/ultimas-noticias/economia/financas-pessoais/preliminar-dolar-fecha-em-alta-52/373148/"">PRELIMINAR: Dólar fecha em alta</a>.</p>
"
